project_name,implementing_agency,brief_description,expected_output,location,contractor,procurement_mode,funding_source,approved_budget,start_date,end_date,physical_accomplishment,financial_accomplishment,remarks,status,project_type
ASSISTANCE TO DISADVANTAGED INDIVIDUALS AND FAMILIES,,,,,,,,53000000.0,,,,,,unknown,Non-Infrastructure
Assistance to Individuals in Crisis Situation (AICS),PSWDO,Provision of immediate assistance to male and female walk-in clients in the form of cash and guarantee letter (non-food assistance),"18,000 needy individuals provided with assistance","Iloilo City/
Province",,,PSWDO (MOOE),50000000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
Assistance to Individuals in Crisis Situation (AICS) for totally bedridden person,PSWDO,"Support to qualified, and eligible totally bedridden persons provided with financial assistance",625 bedridden persons provided with assistance,"Iloilo City/
Province",,,PSWDO (MOOE),3000000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
PROGRAM FOR THE WELFARE OF CHILDREN,,,,,,,,1562000.0,,,,,,unknown,Non-Infrastructure
"Awareness Raising on Laws and Other Issuances on Children and Capacity Development for Male and Female Child Development Workers, Focal Persons, Parents, and Other Community Volunteers",PSWDO,"a venue to increase understanding of key national laws, policies, and guidelines that protect and promote children’s rights and welfare","200 Child Development Workers, Focal Persons, Parents, and Other Community Volunteers provided with technical assistance","Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),119000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
"Implementation of Provincial Ordinance No. 2023-302 
(An Ordinance Converting the IPDCWC to Iloilo Province Balay Pagbag-o for Male Children In-Conflict with the Law) including Repair and Maintenance",PSWDO,"a venue to strengthen rehabilitation, protection, and reintegration interventions for CICL through improved infrastructure and institutional support.","15 male CICL, vulnerable individuals provided with improved access to appropriate facilities and service","Iloilo City/
Province",,,PSWDO (MOOE),837000.0,Jan,Dec ,,,,unknown,Infrastructure
Provision of Counterpart for CICL Services in DSWD Regional Rehabilitation Center for the Youth (RRCY) in Guimaras,PSWDO,a subsidy grant for the CICL from province of Iloilo,100% of male CICL from Iloilo Province who are residents of DSWD RRCY,"Iloilo City/
Province",,,PSWDO (MOOE),250000.0,Jan,Dec ,,,,unknown,Infrastructure
"Implementation of Executive Order No. 361, series of 2022 for Reconstitution and Stregthening of PCPC",PSWDO,"a regular meeting of PCPC and PCAT-VAWC members for reporting, updating, and sharing of technical expertise on laws, programs, and services for women and children",30 PCPC and PCPC TWG ,"Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),64000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
Learning Sessions and Capacity Development for LCPCs and Other Intermediaries for Children,PSWDO,a venue for PCPC and PCAT-VAWC capacitated with technical inputs,30 of PCPC Members,"Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),120000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
Implementation of Provincial Ordinance No. 2018-178 (Provincial Search for the Most Child-Friendly Municipality/City),PSWDO,a recognition program that honors local government units with exemplary initiatives and systems that uphold children’s rights and well-being,3 Most Child-Friendly LGU recognized,"Iloilo City/
Province",,,PSWDO (MOOE),100000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
Child Respesentatives Meeting and Assembly,PSWDO,a regular meeting for child representatives from various municipalities to present issues and challenges pertaining to welfare of children,43 male and female child representatives,"Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),72000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
PAG-ASA YOUTH ASSOCIATION OF THE PHILIPPINES (PYAP),,,,,,,,201000.0,,,,,,unknown,Non-Infrastructure
TRANSCENDING INDIVIDUALISM for BINDING ACTIONS of the YOUTH (TIBAY) PROGRAM,PSWDO,"Learning Sessions, Capacity and Sports Development for PYAP Members and Service Providers","86 male and female PYAP officers, members, and service providers","Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),101000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
,PSWDO,"Information, Education, Communication, and Other Advocacy and Awareness Raising Activities for the Youth",150 male and female youth,"Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),100000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
JUANANG ILONGGA PROGRAM,,,,,,,,745000.0,,,,,,unknown,Non-Infrastructure
"Implementation of Provincial Ordinance No. 2023-308 
(Enacting KALIPI in the Province of Iloilo and Appropriating Funds Therefor)",PSWDO,"a regular meeting of KALIPI Officers and Focal Persons for reporting, updating, and sharing of technical expertise on laws, programs, and services for women",100 women provided with assistance,"Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),141000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
Learning Sessions and Capacity Development for Intermediaries for Women,PSWDO,"an activity to enhance the competencies of intermediaries in promoting, protecting, and advancing women’s rights and welfare",100% of members of TWG for Women,"Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),174000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
"Implementation of Provincial Ordinance No. 2019-200 
(Creation of the Provincial Council for Anti-Trafficking in Persons in the Province of Iloilo)",PSWDO,"the operationalization of the Provincial Council for Anti-Trafficking in Persons in Iloilo that aims to enhance inter-agency coordination, policy enforcement, and protective mechanisms against trafficking in persons.",100% of PCAT-VAWC members,"Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),152000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
"Implementation of Provincial Ordinance No. 2018-167 
(Search for Huwarang Ilongga sang Probinsya)",PSWDO,"A provincial recognition initiative that highlights and honors Ilongga women who serve as role models through their leadership, advocacy, and meaningful contributions to their communities.",3 Huwarang Ilongga winners recognized,"Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),150000.0,Apr,Apr,,,,unknown,Non-Infrastructure
"Women's Month Celebration and Other IEC, Advocacy, and Awareness-Raising Activities",PSWDO,"A series of celebratory and advocacy activities designed to raise awareness on women’s rights and gender issues, encourage community participation, and support gender-responsive governance and development.",300 women provided with assistance,"Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),128000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
PROGRAM FOR THE WELFARE AND DEVELOPMENT OF MEN,,,,,,,,526000.0,,,,,,unknown,Non-Infrastructure
"Implementation of Provincial Ordinance No. 2022-630 
(ERPAT Ordinance of the Province of Iloilo)",PSWDO,"a regular meeting of ERPAT Officers and Focal Persons for reporting, updating, and sharing of technical expertise on laws, programs, and services for men","250 fathers, male guardians,  members and officers of ERPAT","Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),56000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
Learning Sessions and Capacity Development for Intermediaries for ERPAT/Men,PSWDO,learning sessions that aimed at building the capacity of intermediaries to effectively implement ERPAT and men-focused programs through gender-sensitive and family-centered approaches.,43 ERPAT service providers ,"Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),326000.0,Jan,Dec ,,,,unknown,Infrastructure
"Various celebrations and Other IEC, Advocacy, and Awareness-Raising Activities for ERPAT/Men",PSWDO,"celebratory and advocacy activities designed to raise awareness, promote responsible fatherhood, and encourage men’s involvement in gender-responsive family and community initiatives.",250 ERPAT officers and members,"Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),144000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
PROGRAM FOR THE WELFARE AND DEVELOPMENT OF PWD,,,,,,,,5348000.0,,,,,,unknown,Non-Infrastructure
Implementation of Provincial Ordinance No. 2013-104 (Educational Assistance/Scholarship Program for Persons with Disabilities in the Province of Iloilo),PSWDO,Provision of various allowances to PWD scholars,125 Qualified and eligible male and female PWD students ,"Iloilo City/
Province",,,PSWDO (MOOE),5000000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
Learning Sessions and Capacity Development for Persons with Disabilities,PSWDO,"learning sessions that aimed at empowering Persons with Disabilities by enhancing their skills, knowledge, and confidence through inclusive and capacity-building approaches.",43 male and female PWD members and officers of PWD Federation ,"Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),52500.0,Jan,Dec ,,,,unknown,Infrastructure
Other Support to the implementation of RA 7277,PSWDO,"Activities and initiatives that provide technical, programmatic, and advocacy support to ensure effective implementation of RA 7277, promoting empowerment, inclusion, and protection of Persons with Disabilities.",500 male and female PWDs ,"Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),10500.0,Jan,Dec ,,,,unknown,Non-Infrastructure
"Implementation of Provincial Ordinance No. 2016-012
(Provincial Search for the Most PWD-Friendly 
Municipality/City)",PSWDO,series of meetings of TWG for the validation and assessments of entries of LGUs,Top 3 Most PWD-Friendly LGU recognized,"Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),30000.0,Oct,Oct,,,,unknown,Non-Infrastructure
,PSWDO,Cash prizes to 3 LGU winners for  Search for Most PWD Friendly City/Municipality,,"Iloilo City/
Province",,,PSWDO (MOOE),100000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
"Support to the Implementation of Presidential Proclamation No. 597, series of 2024 (National Disability Rights Week)",PSWDO,"Activities and initiatives designed to raise awareness, advocate for rights, and engage communities in celebrating National Disability Rights Week, ensuring the inclusion and empowerment of Persons with Disabilities.","220 male and female PWD oriented on their rights
","Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),135000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
"Other IEC, Advocacy, Awareness-Raising and PWD-initiated activities",PSWDO,"Activities designed to raise awareness, advocate for rights, and empower Persons with Disabilities to initiate programs that foster inclusion, participation, and community engagement.",200 male and female PWDs ,"Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),20000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
PROGRAM FOR THE WELFARE AND DEVELOPMENT OF SENIOR CITIZENS,,,,,,,,10275000.0,,,,,,unknown,Non-Infrastructure
Atipanon kag Respetuhon ang mga Tigulang (ART) Day for Older Adults,PSWDO,"an activity for senior citizens to understand and appreciate their importance, roles, and contributions to the communities and the society as a whole",150 male and female senior citizens ,"Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),135000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
Learning Sessions and Capacity Development for Senior Citizens,PSWDO,"a learning sessions designed to strengthen the capacities of senior citizens through skill-building, awareness, and empowerment initiatives that enhance their quality of life and community participation.",86 male and female senior citizens,"Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),20000.0,Jan,Dec ,,,,unknown,Infrastructure
"Implementation of Provincial Ordinance No. 2016-135 as amended by Provincial Ordinance No. 2017-153 and Provincial Ordinance No. 2020-216 (Monetary Award and Recognition to Octogenarians, Nonagenarians and Centenarians in the Province of Iloilo)",PSWDO,"Recognize roles and efforts of senior citizens who have reached 85, 95 and 100 years old","100% of Qualified, eligible, and compliant male and female senior citizens aged 85, 95, and 100 ","Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),10000000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
"Implementation of Provincial Ordinance No. 2013-105
(Provincial Search for the Most Senior Citizen-Friendly 
Municipality/City)",PSWDO,Cash prizes to 3 LGU winners for  Search for Most Senior Citizen Friendly City/Municipality,Top 3 Most Senior Citizen-Friendly LGU recognized,"Iloilo City/
Province",,,PSWDO (MOOE),100000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
,,Technical Sessions for TWG for the Search for Most Seniror Citizen Friendly City/Municipality,,"Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),20000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
PROGRAM FOR THE WELFARE AND DEVELOPMENT OF SOLO PARENTS AND FAMILIES OF OFWs,,,,,,,,201000.0,,,,,,unknown,Non-Infrastructure
Learning Sessions and Capacity Development for Solo Parents,PSWDO,"a learning sessions designed to strengthen solo parents’ capacities through skill-building, awareness, and empowerment initiatives that enhance family welfare and active participation in community life.",43 male and female solo parents families organized and capacitated,"Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),81000.0,Jan,Dec ,,,,unknown,Infrastructure
Implementation of Provincial Ordinance No. 2018-166 (Institutionalizing Solo Parents Day Every April),PSWDO,"a provincial initiative to celebrate Solo Parents Day every April through programs and activities that promote awareness, recognize solo parents’ contributions, and provide support to enhance their welfare.",180 male and female solo parents ,"Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),120000.0,Apr,Apr,,,,unknown,Non-Infrastructure
"CONVERGENCE: PROGRAM FOR THE WELFARE AND DEVELOPMENT OF THE INDIGENT, MARGINALIZED, AND VULNERABLE INDIVIDUALS AND FAMILIES",,,,,,,,181000.0,,,,,,unknown,Non-Infrastructure
"Enforcement of Executive Order No. 419, series of 2023 (Reconstitution of the Iloilo Provincial Convergence Committee)",PSWDO,"strengthening multi-sectoral coordination, monitoring, and implementation of provincial development and social protection initiatives.",100% of Male and Female IPCC members capacitated,"Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),100000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
"Provision of Assistance/Support to beneficiaries of Panatawid Pamilyang Pilipino Program, Sustainable Livelihood Program, and KALAHI-CIDSS Program (Cash for Work, Cash for Training, Food for Work, Food for Training, etc.)",PSWDO,a venue for federation Officers Parent Leaders and SLPA Representatives will be provided with technical assistance,43 4Ps beneficiaries,"Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),81000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
SOCIAL PROTECTION,,,,,,,,195000.0,,,,,,unknown,Non-Infrastructure
"Support to the Enforcement of DSWD Administrative Order No. 02, series of 2023 (Guidelines for the Preparation of the Social Protection and Development Report)",PSWDO,Creation and Capacity Development of the Provincial Social Protection Committee,100% of Male and Female SP Committee members capacitated,"Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),45000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
,,Formulation of Provincial Social Protection Plan,1 Social Protection Plan,"Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),150000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
PROGRAM FOR THE RESILIENCE OF ILOILO IN MIND AND EMOTION (PRIME),,,,,,,,63000.0,,,,,,unknown,Non-Infrastructure
Program for the Resilience of Iloilo in Mind and Emotion (PRIME),PSWDO,"building mental and emotional resilience among Iloilo residents through capacity development, awareness campaigns, and psychosocial support activities.",43 City/Municipal  and 1 Provincial PRIME TF PagAsa ,"Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),63000.0,Jan,Dec ,,,,unknown,Infrastructure
PROGRAM FOR THE WELFARE AND DEVELOPMENT OF THE INDGENOUS PEOPLE/INDIGENOUS CULTURAL COMMUNITIES,,,,,,,,5654000.0,,,,,,unknown,Non-Infrastructure
Implementation of Provincial Ordinance No.  2016-128 as amended by Provincial Ordinance No. 2018-172 (Provincial Educational Assistance Program for ICC/IPs in the Province of Iloilo),PSWDO,Provision of Allowances to IP Scholars,"202 eligible, qualified, and compliant IPs/ICCs provided with educational assistance","Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),5500000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
,PSWDO,Learning Sessions and M&E Activities for IP Scholars,100 Male and female IP scholars monitored,"Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),154000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
AFTERCARE PROGRAM FOR PWUD,,,,,,,,100000.0,,,,,,unknown,Non-Infrastructure
Subsidy to NGA for RPWUDS,PSWDO,support for PWUD from province of Iloilo availing aftercare services,% Persons Who Used Drugsavailaing of aftercare services at DOH-TRC,"Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),100000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
PROVISION OF TECHNICAL ASSISTANCE AND OTHER SUPPORT TO LSWDOs AND OTHER SOCIAL WELFARE INTERMEDIARIES,,,,,,,,495000.0,,,,,,unknown,Non-Infrastructure
Learning Sessions and Capacity Development for LSWDOs and Other Social Welfare Intermediaries,PSWDO,a venue for LSWDO to gain new insights in the field of work handling social welfare and maintain healthy relationship.,"85 male and female 
P/M/CSWDOs","Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),162000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
Social Welfare Information Technology and Communication Hub (SWITCH) Iloilo Project,PSWDO,a venue to report/ present updates in implementaion of SWITCH in the pilot LGUs,1 system established,"Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),333000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
PROGRAM FOR THE WELFARE AND DEVELOPMENT OF LGBTQ,,,,,,,,192000.0,,,,,,unknown,Non-Infrastructure
"Implementation of Provincial Ordinance No. 2019-205 (An Ordinance Declaring the Second Week of the month June of 
every year to be known as ""Iloilo Province (Lesbian, Gay, Bisexual and Transgender) Pride Week",PSWDO,"a series of activities for LGBTQ members to understand and appreciate their importance, roles, and contributions to the communities and the society as a whole",150 members of the LGBTQIA++,"Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),120000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
Regular LGBTQ Sessions,PSWDO,"a regular meeting of LGBTQ federation for  sharing of issues/challenges, strategies and interventions to improve services for the welfare of the members",43 LGBTQ members provided with technical assistance,"Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),72000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
,,,,,,,,78212000.0,,,,,,unknown,Non-Infrastructure
Processing of Financial Claims and Financial Assistance,Provincial Accountant's Office,"Financial Claims, simple or complex and Financial Assistance certified as to completeness of supporitng documents and correctness of Journal Entry","Financial Claims and Financial Assistance processed and certified, for approval of the Governor",,,,,,,,,,On going,ongoing,Non-Infrastructure
Submission of Financial Reports,Provincial Accountant's Office,"Financial Reports submitted to COA, Governor, SP and Provincial Tresusrer's Office as per set deadline",Financial Reports Submitted,,,,,,,,,,On going,ongoing,Non-Infrastructure
"Memo/Circulars/ Orders disseminated to all Offices, for Implementation",Provincial Accountant's Office,"Memo/Circulars/Orders coming from DBM, COA, DILG, GSIS and other NGAs or offices disseminated, for implementation","Disseminated Memo., Circulars and Orders for implementation",,,,,,,,,,On going,ongoing,Non-Infrastructure
"Plans/budgets, collections, disbursements, claims processing, procurement documents and Reports approved and submitted",Provincial Accountant's Office,"All required Plans/budgets, collections, disbursements, claims processing, procurement documents and Reports approved and submitted as per set deadline","Approved and submitted required plans, budget, collections, disbursements, claims processing, procurement documents & reports per set deadline",,,,,,,,,,On going,ongoing,Non-Infrastructure
Administrative and Logistics Support,Provincial Accountant's Office,"Accounting personnel benefits approved and forwarded to concerned office within the required period, upon receipt of complete supporting documents","100% Accounting personnel benefits approved and paid, within the required period",,,,,,,,,,On going,ongoing,Non-Infrastructure
Accounts Reconciliation and Verification,Provincial Accountant's Office,Reconciliation Reports (e.g. Bank Statements; PPEs; GSIS/HDMF/PHIC Remittances; Coop. and Baks) prepared and submitted per set deadline,"All required Reconciliation Statements / Reports prepared, approved and submitted on set deadline",,,,,,,,,,On going,ongoing,Non-Infrastructure
"II. OFFICE OPERATIONAL EXPENSES  (CURRENT OPERATING EXPENDITURE OF MOOE) - include but not limited to salaries, supplies,equipment, fixtures, couriers, publications, registrations, travels, etc.",OPPESM,"Salaries/Wages and other benefits of JOSS/ Contract of Services and job hires paid; training/convention registration, other operational expenses paid office supplies, equipment, furnitures and fixtures procured",Number of JOSS personnel hired                                                                                                 ,Province of Iloilo,,,Gen Fund,7539500.0,Jan,Dec,,,ON GOING,ongoing,Non-Infrastructure
III. CAPACITY DEVELOPMENT TRAININGS  TO BE ATTENDED/ CONDUCTED,OPPESM,"Field consultations, meetings and auxilliary trainings, workshops, seminars related to PESO programs conducte and attended updated knowledge attidute skills and experiences","Number of requests for participation to meetings, conventions/summits, trainings, seminars, and other fora attended(Blended)",Province of Iloilo,,,Gen Fund,1039500.0,Jan,Dec,,,ON GOING,ongoing,Non-Infrastructure
"IV. REGISTRATION, REFERRAL AND PLACEMENT",OPPESM,"Registered (eMSRS), Referred and placed/deployed jobseekers, jobseekers referred to skills enhancement training, jobseekers referred to other special employment programs",Number of jobseekers profiled (online/walk in),Province of Iloilo,,,Gen Fund,50000.0,JAN,DEC,,,on going,ongoing,Non-Infrastructure
V. LABOR MARKET INFORMATION,OPPESM,"Information, Education, and Communication activities and materials developed/dissiminated; manpower and skills database updated and accessed by partner employers and interested clients; employment and protection system developed and installed, employment policy-recommendations proposed/endorsed, updated registery of establishments compliant to DOLE standards",Number of Jobs Vacancies and Job Orders Posted,Province of Iloilo,,,Gen Fund,400000.0,JAN,DEC,,,ON GOING,ongoing,Non-Infrastructure
EMPLOYMENT FACILITATION AND PROTECTION SYSTEM (EFPS),OPPESM,"PESO employment facilitation  and protection systems and other support to IT operations, subscriptions and etc.",Number of Acquired productivity tools subscription,Province of Iloilo,,,Gen Fund,121000.0,Jan,Dec,,,ON GOING,ongoing,Non-Infrastructure
WORKFORCE DEVELOPMENT PLAN (WDP),OPPESM,"Consultations/ engagements/meetings, identification of consultants, resource Persons for the crafting of WFP Framework",Number of consultation conducted,,,,Gen Fund,30000.0,JAN,DEC,,,TO BE IMPLEMENTED,to_be_implemented,Non-Infrastructure
VI. CAREER COACHING AND EMPLOYMENT ORIENTATION,OPPESM,Career Coaching and Employability Enhancement seminars conducted,Number of students/individuals availed the oientation,Province of Iloilo,,,Gen Fund,45000.0,JAN,DEC,,,ON GOING,ongoing,Non-Infrastructure
JOB FAIRs,OPPESM,"Employer-Jobseeker recruitment facilitated, HOTS, Skills Training Registration, Governmnent Agency Help Desk for jobseekers, Employment Information Services to Jobseekers, Employability Enhancement Orientation conducted","Number of Job fairs conducted

",Province of Iloilo,,,Gen. Fund,803000.0,JULY,OCTOBER,,,ON GOING,ongoing,Non-Infrastructure
SPECIAL RECRUITMENT ACTIVITIES (SRA)/LOCAL RECRUTIMENT ACTIVITIES (LRA),OPPESM,"Employer-Jobseeker recruitment facilitated, EmploymentHOTS,  Employment Information Services to Jobseekers","Number of SRA conducted (blended)



",Province of Iloilo,,,Gen. Fund,20000.0,JAN,DEC,,,ON GOING,ongoing,Non-Infrastructure
SPECIAL PROGRAM FOR EMPLOYMENT OF STUDENTS (SPES),OPPESM,Students/OSY avialed the program during summer and christmas breaks,Number of LGUs/ IPG offices implemented ,Province of Iloilo,,,Gen. Fund,4972000.0,MAY,DEC,,,ON GOING,ongoing,Non-Infrastructure
PROVINCIAL INTERNSHIP PROGRAM  (PIP),OPPESM,Beneficiaries placed for internship to Iloilo Provincial Government/Municipal Offices and District Hospitals,Number of LGUs implemented,Province of Iloilo,,,Gen. Fund,5000000.0,FEB,DEC,,,ON GOING,ongoing,Infrastructure
CASH-FOR WORK PROGRAM (CFW),OPPESM,Provided cash-for-work among informal workers,Number  of LGUs implemented,Province of Iloilo,,,Gen. Fund,8000000.0,FEB,DEC,,,ON GOING,ongoing,Non-Infrastructure
SHORT TERM EMPLOYMENT PROGRAM (STEP),OPPESM,Provided short term employment opportunities for affected workers,Number of LGUs implemented,Province of Iloilo,,,Gen. Fund,3000000.0,FEB,DEC,,,ON GOING,ongoing,Non-Infrastructure
JOBSTART PHILIPPINES PROGRAM - ILOILO PROVINCE,OPPESM,"Life Skills Training, Technical Training, Internship, and Skills Matching Services provided to qualified youth-at-risk beneficiaries",Number of Youth Beneficiaires with Participation Agreement under JobStart Philippines Program,Province of Iloilo,,,Gen. Fund,1000000.0,JAN,DEC,,,ON GOING,ongoing,Non-Infrastructure
LIFE/SOFT SKILLS TRAINING,OPPESM,To provide soft skills training to PESO programs beneficiaries in preparation for their employment journey,Number  of LST conducted,Province of Iloilo,,,,400000.0,,,,,TO BE IMPLEMENTED,to_be_implemented,Non-Infrastructure
MIGRATION AND DEVELOPMENT INITIATIVES (MDI),OPPESM,Provision of capacity development trainings and seminars for OFWs and soon to be OFWs,Number  of Committee Meetings conducted,Province of Iloilo,,,Gen. Fund,300000.0,JAN,DEC,,,ON GOING,ongoing,Non-Infrastructure
ORGANIZATION OF OFWs,OPPESM,Organized of OFWs in the LGU up to the provincial level,Number of organized/assisted registered OFW groups,Province of Iloilo,,,Gen. Fund,150000.0,JAN,DEC,,,ON GOING,ongoing,Non-Infrastructure
TASK FORCE BULIG ILONGGO,OPPESM,Provided assistance to  OFWs,Number of OFW profiled and provided assistance ,Province of Iloilo,,,Gen. Fund,35000.0,JAN,DEC,,,ON GOING,ongoing,Non-Infrastructure
FINANCIAL ASSISTANCE TO OVERSEAS FILIPINO WORKERS (OFWs),OPPESM,Provided repatriated/displaced OFW / OFWs-in-crises (local or abroad) with financial assistance,Number of qualified beneficiaries who request for assistance provided services within the prescribed process cycle time,Province of Iloilo,,,Gen. Fund,7000000.0,JAN,DEC,,,ON GOING,ongoing,Infrastructure
"ANTI ILLEGAL RECRUTIMENT AND TRAFFICKING IN PERSONS , WOMEN AND CHILDREN ND OTHER EMPLOYMENT PROTECTION SERVICES",OPPESM,Provide trainings for Anti illegal recrutiment and other employment protection services,* No. of individuals availed the services,Province of Iloilo,,,Gen. Fund,,JAN,DEC,,,ON GOING,ongoing,Non-Infrastructure
OFW SCHOLARSHIP PROGRAM,OPPESM,Provinded Scholarship grants to children of OFWs,Number of preliminary meetings conducted,Province of Iloilo,,,,2300000.0,JAN,DEC,,,TO BE IMPLEMENTED,to_be_implemented,Non-Infrastructure
SEARCH FOR PROVINCIAL/MUNICPAL/BARANGAY BEST PESO/GVERNOR'S AWARDS,OPPESM,"Municipal and Brgy PESO recognized, incentivized, awarded","Number of entries submitted  and evaluated



",Province of Iloilo,,,Gen. Fund,1200000.0,JAN,MAY,,,TO BE IMPLEMENTED,to_be_implemented,Non-Infrastructure
TOTAL,,,,,,,,43405000.0,,,,,,unknown,Non-Infrastructure
Iskolar Sang Iloilo Program,IPG - HRMDO,Scholarship Program for the underprivileged but deserving Senior Highschool graduates of the Province,New batch of ISIP Scholars (Batch 31) - 125 scholars,,,,MOOE,23000000.0,2026-01-01 00:00:00,2026-12-31 00:00:00,,,On Going,ongoing,Infrastructure
Financial Assistance for Board Exam Review of Graduate Scholars of IPG,IPG - HRMDO,Financial Assistance for Board Exam Review of Graduate Scholars of IPG,"P10,000.00 assistance for qualified graduate scholars",,,,MOOE,1000000.0,2026-01-01 00:00:00,2026-12-31 00:00:00,,,On Going,ongoing,Non-Infrastructure
Top 10  Incentives Program,IPG - HRMDO,Top 10 Incentives Program as per Provincial Ordinance No. 2023-295,Individuals assessed and granted incentives,,,,MOOE,500000.0,2026-01-01 00:00:00,2026-12-31 00:00:00,2 applications processed for the grant of incentives  & 1 application on process,35000,2 applications referred to the Office of the SP Secretary for SP Resolution of Commendation,other,Non-Infrastructure
I. Capability Building,PCDO,Capacity development activities for cooperative stakeholders,2 Batches of Accounting for Non-Accountants Seminar-Workshop,Iloilo,,SVP,Gen. Fund,624000.0,April ,September ,,,,unknown,Infrastructure
,,,1 Mid Year Assessment ,Iloilo ,,SVP,Gen. Fund,104000.0,July,,,,,unknown,Non-Infrastructure
,,,CDO Enhancement Training ,Iloilo,,SVP,Gen. Fund,208000.0,May ,,,,,unknown,Non-Infrastructure
,,,"Financial, Credit Collection and Risk Management Training",Iloilo ,,SVP,Gen. Fund,85000.0,May ,,,,,unknown,Non-Infrastructure
